Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.61,symmetric,0.487552727
75% Corpus,6,0.31,0.91,0.487236188
75% Corpus,10,0.61,0.61,0.487161197
75% Corpus,6,0.91,0.31,0.487116458
75% Corpus,6,asymmetric,0.91,0.487073871
100% Corpus,9,symmetric,symmetric,0.486777963
75% Corpus,6,0.01,0.91,0.486427471
75% Corpus,6,symmetric,0.91,0.486427471
100% Corpus,6,0.61,0.61,0.48602895
100% Corpus,7,asymmetric,0.01,0.485296348
75% Corpus,10,0.31,0.01,0.4852232
100% Corpus,9,asymmetric,0.31,0.484998977
75% Corpus,10,symmetric,0.01,0.484324803
100% Corpus,7,0.01,0.01,0.483584592
75% Corpus,6,0.61,0.61,0.482650164
100% Corpus,7,0.01,symmetric,0.482146645
75% Corpus,5,asymmetric,0.31,0.481809012
100% Corpus,9,0.91,0.91,0.481450973
100% Corpus,9,0.01,0.01,0.480402587
75% Corpus,9,0.31,0.91,0.480326817
75% Corpus,8,0.01,0.91,0.479571274
75% Corpus,6,0.61,0.31,0.479225027
75% Corpus,8,0.31,symmetric,0.477588817
75% Corpus,10,0.01,0.01,0.477108031
100% Corpus,7,asymmetric,symmetric,0.476861293
75% Corpus,9,0.31,0.01,0.476679853
75% Corpus,9,0.61,0.61,0.476636844
100% Corpus,7,symmetric,symmetric,0.476385819
75% Corpus,10,asymmetric,0.61,0.475888383
75% Corpus,8,0.31,0.91,0.475588797
75% Corpus,10,asymmetric,0.91,0.475440469
100% Corpus,9,0.01,0.61,0.474869732
75% Corpus,8,0.31,0.01,0.473477553
100% Corpus,9,symmetric,0.61,0.47343819
100% Corpus,7,symmetric,0.01,0.473116899
100% Corpus,8,0.61,symmetric,0.473012272
75% Corpus,9,asymmetric,0.01,0.472794046
75% Corpus,6,0.91,0.01,0.472603747
75% Corpus,9,symmetric,0.01,0.47242362
75% Corpus,9,0.91,0.91,0.471762194
75% Corpus,8,0.91,0.91,0.471456493
75% Corpus,7,0.61,0.91,0.47142725
100% Corpus,9,0.61,0.91,0.471380097
100% Corpus,7,0.31,0.01,0.471129499
75% Corpus,8,0.61,symmetric,0.471028415
75% Corpus,9,0.91,0.61,0.470369129
100% Corpus,9,0.61,0.31,0.469527814
75% Corpus,6,0.31,0.61,0.468896375
75% Corpus,9,0.61,0.91,0.468706163
100% Corpus,8,asymmetric,0.01,0.468616352
100% Corpus,6,0.61,0.31,0.468322272
100% Corpus,6,0.61,symmetric,0.468322272
100% Corpus,6,0.01,0.91,0.467976933
75% Corpus,10,0.61,symmetric,0.467832437
100% Corpus,7,0.91,0.01,0.467570514
75% Corpus,9,asymmetric,0.91,0.467129934
100% Corpus,9,0.91,symmetric,0.467006195
75% Corpus,5,asymmetric,symmetric,0.466350376
75% Corpus,6,0.91,symmetric,0.466081695
100% Corpus,9,0.31,0.61,0.466074006
75% Corpus,8,0.01,0.01,0.465671202
75% Corpus,9,0.31,symmetric,0.465646718
75% Corpus,8,symmetric,0.01,0.465624406
75% Corpus,10,symmetric,symmetric,0.465428908
75% Corpus,10,0.31,0.31,0.465096418
75% Corpus,6,0.61,symmetric,0.464863056
100% Corpus,8,symmetric,symmetric,0.464325066
100% Corpus,7,0.61,symmetric,0.464252215
75% Corpus,9,0.01,0.01,0.464169665
75% Corpus,10,symmetric,0.91,0.464162749
75% Corpus,10,0.01,0.91,0.463831646
75% Corpus,8,0.61,0.91,0.463571758
100% Corpus,7,0.31,symmetric,0.463227495
100% Corpus,7,0.01,0.61,0.462885238
100% Corpus,6,0.91,0.61,0.462649425
100% Corpus,7,0.91,symmetric,0.462506894
75% Corpus,8,0.01,symmetric,0.462500394
100% Corpus,7,0.31,0.61,0.462103616
100% Corpus,8,0.31,symmetric,0.461565113
100% Corpus,6,asymmetric,0.61,0.461541833
75% Corpus,10,0.01,symmetric,0.461451483
100% Corpus,7,0.61,0.31,0.460781489
100% Corpus,7,symmetric,0.61,0.460679657
100% Corpus,7,asymmetric,0.61,0.460679657
75% Corpus,9,0.61,symmetric,0.460667122
100% Corpus,9,0.61,0.61,0.460217768
75% Corpus,8,symmetric,symmetric,0.460105759
75% Corpus,8,asymmetric,symmetric,0.460105759
100% Corpus,8,0.61,0.01,0.460032767
100% Corpus,9,0.91,0.61,0.460011043
75% Corpus,6,asymmetric,0.61,0.459821388
75% Corpus,9,0.91,0.01,0.459651152
75% Corpus,8,0.61,0.01,0.459026882
100% Corpus,8,symmetric,0.01,0.458918894
100% Corpus,6,0.91,0.01,0.458445673
100% Corpus,10,0.91,0.91,0.458387306
100% Corpus,6,symmetric,0.61,0.458175269
75% Corpus,8,asymmetric,0.01,0.457942211
100% Corpus,10,0.61,0.91,0.457894891
75% Corpus,10,asymmetric,0.31,0.457773333
100% Corpus,8,0.01,symmetric,0.457435867
75% Corpus,5,asymmetric,0.01,0.457371318
75% Corpus,10,asymmetric,0.01,0.457330619
75% Corpus,6,0.01,0.61,0.457251548
75% Corpus,6,symmetric,0.61,0.457251548
75% Corpus,9,symmetric,symmetric,0.45707246
75% Corpus,8,0.91,0.01,0.456556365
100% Corpus,7,0.31,0.31,0.456420065
100% Corpus,9,asymmetric,0.61,0.456246937
75% Corpus,8,symmetric,0.91,0.456141567
100% Corpus,10,0.31,0.91,0.455868738
100% Corpus,7,0.61,0.01,0.455594659
75% Corpus,9,asymmetric,symmetric,0.455247337
100% Corpus,7,0.01,0.31,0.455036204
100% Corpus,6,0.01,0.61,0.454929464
75% Corpus,10,0.31,0.61,0.453333958
100% Corpus,8,0.31,0.01,0.452506902
75% Corpus,10,0.01,0.31,0.452161342
75% Corpus,9,0.61,0.01,0.451744138
75% Corpus,6,0.31,0.31,0.451603015
75% Corpus,10,asymmetric,symmetric,0.451192947
75% Corpus,10,symmetric,0.31,0.451114665
100% Corpus,8,0.01,0.01,0.450489507
100% Corpus,9,0.91,0.31,0.450416644
